sentence,label,target_position,target_word,pos_tag,gloss,eg_sent
Her feelings condensed .,1,2,condensed,VERB,Make (something) denser or more concentrated.,the morning play on Saturday was condensed into a half-hour package
capture the essence of Spring   .,1,0,capture,VERB,Take into one's possession or control by force.,the island was captured by Australian forces in 1914
Our business was hurt by the new competition .,1,3,hurt,VERB,Cause pain or injury to.,Ow ! You 're hurting me !
The rules relaxed after the new director arrived .,1,2,relaxed,VERB,Make or become less tense or anxious.,he relaxed and smiled confidently
The cigar smoke curled up at the ceiling .,1,3,curled,VERB,Form or cause to form into a curved or spiral shape.,her fingers curled round the microphone
Do n't twist my words .,1,2,twist,VERB,"Form into a bent, curling, or distorted shape.",a strip of metal is twisted to form a hollow tube
The charges were inflated .,1,3,inflated,VERB,"Fill (a balloon, tyre, or other expandable structure) with air or gas so that it becomes distended.",never use an air line on a garage forecourt to inflate your tyres
I heard him volley a string of curses .,1,3,volley,VERB,"(in sport, especially tennis or soccer) strike or kick (the ball) before it touches the ground.",she volleyed the ball home
He transformed into a monster .,1,1,transformed,VERB,"Make a marked change in the form, nature, or appearance of.",lasers have transformed cardiac surgery
The distinction between the two theories blurred .,1,6,blurred,VERB,Make or become unclear or less distinct.,tears blurred her vision
The path climbed all the way to the top of the hill .,1,2,climbed,VERB,Go or come up a (slope or staircase); ascend.,we began to climb the hill
We rotate the lead soprano every night .,1,1,rotate,VERB,Move or cause to move in a circle round an axis or centre.,the wheel continued to rotate
He always wears a smile .,1,2,wears,VERB,"Have (something) on one's body as clothing, decoration, or protection.",he was wearing a dark suit
This experience transformed her completely .,1,2,transformed,VERB,"Make a marked change in the form, nature, or appearance of.",lasers have transformed cardiac surgery
The current boom in the economy sucked many workers in from abroad .,1,6,sucked,VERB,Draw into the mouth by contracting the muscles of the lips and mouth to make a partial vacuum.,they suck mint juleps through straws
mount a campaign against pornography .,1,0,mount,VERB,"Climb up (stairs, a hill, or other rising surface)",he mounted the steps
The cancer had invaded her lungs .,1,3,invaded,VERB,(of an armed force) enter (a country or region) so as to subjugate or occupy it.,during the Second World War the island was invaded by the Axis powers
The press was gagged .,1,3,gagged,VERB,Put a gag on (someone),she was bound and gagged by robbers
The dress molds her beautiful figure .,1,2,molds,VERB,,
only few plants can immigrate to the island .,1,4,immigrate,VERB,Come to live permanently in a foreign country.,an Australian who immigrated to Britain in 1982
She had to juggle her job and her children .,1,3,juggle,VERB,Continuously toss into the air and catch (a number of objects) so as to keep at least one in the air while handling the others.,"Charles juggled five tangerines , his hands a frantic blur"
This action reflects his true beliefs .,1,2,reflects,VERB,"(of a surface or body) throw back (heat, light, or sound) without absorbing it.",when the sun 's rays hit the Earth a lot of the heat is reflected back into space
Fire had devoured our home .,1,2,devoured,VERB,Eat (food or prey) hungrily or quickly.,he devoured half of his burger in one bite
sorrow was mapped on the mother 's face .,1,2,mapped,VERB,Represent (an area) on a map; make a map of.,inaccessible parts will be mapped from the air
He shed his image as a pushy boss .,1,1,shed,VERB,Park (a vehicle) in a depot.,the buses were temporarily shedded in that depot
The bullets whistled past him .,1,2,whistled,VERB,"Emit a clear, high-pitched sound by forcing breath through a small hole between one's lips or teeth.",the audience cheered and whistled
She clawed the doorknob .,1,1,clawed,VERB,Scratch or tear something with the claws or the fingernails.,the kitten was clawing at Lowell 's trouser leg
Her interest in butterflies absorbs her completely .,1,4,absorbs,VERB,Take in or soak up (energy or a liquid or other substance) by chemical or physical action.,buildings can be designed to absorb and retain heat
She tugged for years to make a decent living .,1,1,tugged,VERB,Pull (something) hard or suddenly.,she tugged off her boots
Greed and ambition composed his personality .,1,3,composed,VERB,"Write or create (a work of art, especially music or poetry)",he composed the First Violin Sonata four years earlier
She traced the circumstances of her birth .,1,1,traced,VERB,Find or discover by investigation.,police are trying to trace a white van seen in the area
The mother was swelling with importance when she spoke of her son .,1,3,swelling,VERB,"(especially of a part of the body) become larger or rounder in size, typically as a result of an accumulation of fluid.",her bruised knee was already swelling up
This story will grab you .,1,3,grab,VERB,Grasp or seize suddenly and roughly.,she grabbed him by the shirt collar
Companies will now stampede to release their latest software .,1,3,stampede,VERB,"(of horses, cattle, or other animals) rush wildly in a sudden mass panic.",the nearby sheep stampeded as if they sensed impending danger
The principal visited his rage on the students .,1,2,visited,VERB,Go to see and spend time with (someone) socially.,I came to visit my grandmother
The war uprooted many people .,1,2,uprooted,VERB,"Pull (something, especially a tree or plant) out of the ground.",the elephant 's trunk is powerful enough to uproot trees
The locks pound the water of the canal .,1,2,pound,VERB,Strike or hit heavily and repeatedly.,Patrick pounded the couch with his fists
She captured all the men 's hearts .,1,1,captured,VERB,Take into one's possession or control by force.,the island was captured by Australian forces in 1914
His laughter infects everyone who is in the same room .,1,2,infects,VERB,"Affect (a person, organism, etc.) with a disease-causing organism.",pregnant women who may have been infected with the virus
He pumped bullets into the dummy .,1,1,pumped,VERB,"Force (liquid, gas, etc.) to move by or as if by means of a pump.",the blood is pumped around the body
level criticism or charges at somebody .,1,0,level,VERB,Give a flat and even surface to.,contractors started levelling the ground for the new power station
Middle age dulled her appetite for travel .,1,2,dulled,VERB,Make or become dull or less intense.,time dulls the memory
She scanned the newspaper headlines while waiting for the taxi .,1,1,scanned,VERB,Look at all parts of (something) carefully in order to detect some feature.,he raised his binoculars to scan the coast
The company matched the employees ' contributions .,1,2,matched,VERB,Correspond or cause to correspond in some essential respect; make or be harmonious.,I thought we 'd have primrose walls to match the bath
She swallowed the last words of her speech .,1,1,swallowed,VERB,"Cause or allow (something, especially food or drink) to pass down the throat.",she swallowed a mouthful slowly
The hikers topped the mountain just before noon .,1,2,topped,VERB,"Exceed (an amount, level, or number); be more than.",losses are expected to top £100 m this year
the theater was jam-packed .,1,3,Jam-packed,VERB,Squeeze or pack tightly into a specified space.,four of us were jammed in one compartment
Congress condensed the three - year plan into a six - month plan .,1,1,condensed,VERB,Make (something) denser or more concentrated.,the morning play on Saturday was condensed into a half-hour package
She devoured his novels .,1,1,devoured,VERB,Eat (food or prey) hungrily or quickly.,he devoured half of his burger in one bite
The ex - slave tasted freedom shortly before she died .,1,4,tasted,VERB,Perceive or experience the flavour of.,she had never tasted ice cream before
A weather vane crowns the building .,1,3,crowns,VERB,Ceremonially place a crown on the head of (someone) in order to invest them as a monarch.,he went to Rome to be crowned
The comedian convulsed the crowd .,1,2,convulsed,VERB,"Suffer violent involuntary contraction of the muscles, producing contortion of the body or limbs.","she convulsed , collapsing to the floor with the pain"
She drowned her trouble in alcohol .,1,1,drowned,VERB,Die through submersion in and inhalation of water.,a motorist drowned when her car plunged off the edge of a quay
this may land you in jail .,1,2,land,VERB,Put (someone or something) on land from a boat.,he landed his troops at Hastings
This story would lend itself well to serialization on television .,1,3,lend,VERB,Grant to (someone) the use of (something) on the understanding that it will be returned.,Stewart asked me to lend him my car
Her face glowed when she came out of the sauna .,1,2,glowed,VERB,Give out steady light without flame.,the tips of their cigarettes glowed in the dark
poison someone 's mind .,1,0,poison,VERB,"Administer poison to (a person or animal), either deliberately or accidentally.",someone had tried to poison me
wallow in your success !,1,0,wallow,VERB,"(chiefly of large mammals) roll about or lie in mud or water, especially to keep cool or avoid biting insects.",there were watering places where buffalo liked to wallow
She was streaming with sweat .,1,2,streaming,VERB,"(of liquid, air, gas, etc.) run or flow in a continuous current in a specified direction.",she sat with tears streaming down her face
She spelled her husband at the wheel .,1,1,spelled,VERB,Write or name the letters that form (a word) in correct sequence.,Dolly spelled her name
The new measures deflated the economy .,1,3,deflated,VERB,"Let air or gas out of (a tyre, balloon, or similar object)",he deflated one of the tyres
We had to sharpen our arguments .,1,3,sharpen,VERB,Make or become sharp or sharper.,she sharpened her pencil
The debate sharpened .,1,2,sharpened,VERB,Make or become sharp or sharper.,she sharpened her pencil
We rotate the crops so as to maximize the use of the soil .,1,1,rotate,VERB,Move or cause to move in a circle round an axis or centre.,the wheel continued to rotate
The cancer cells are attacking his liver .,1,4,attacking,VERB,Take aggressive military action against (a place or enemy forces) with weapons or armed force.,in February the Germans attacked Verdun
The tax cut will boost the economy .,1,4,boost,VERB,Help or encourage (something) to increase or improve.,a range of measures to boost tourism
