sentence,label,target_position,target_word,pos_tag,gloss,eg_sent
"As Judge Anthony Kennedy rolls on toward confirmation , the Bork fallout continues , not least in raising the issue of whether the organized bar has any special role to play in judicial selection ",1,4,roll,verb,Move in a particular direction by turning over and over on an axis.,the car rolled down into a ditch
"According to a recently unsealed transcript of a closed meeting in Judge Pollack 's chambers with defense attorneys on Sept. 13 , the judge claimed he was being attacked '' professionally '' and threatened to impose sanctions if the lawyers pursued the issue of removing him ",1,28,attack,verb,Take aggressive military action against (a place or enemy forces) with weapons or armed force.,in February the Germans attacked Verdun
"Fed officials hope for signs soon that the economy is slowing , which would cool the need for further rate increases ",1,14,cool,verb,Become or make less hot.,we dived into the river to cool off
"Eastern Airlines Inc. is stepping up its marketing war in the busy , competitive Northeast shuttle - service market , offering discounts of as much as 30 % for passengers buying tickets in bulk ",1,4,step,verb,Lift and set down one's foot or one foot after the other in order to walk somewhere or move to a new position.,Claudia tried to step back
"Last month , Judge Aguilar rejected a request by attorneys for Apple that he step aside because of his Hewlett - Packard connection ",1,14,step,verb,Lift and set down one's foot or one foot after the other in order to walk somewhere or move to a new position.,Claudia tried to step back
"Even if Najibullah ca n't hang onto power , he may now be able to strike a better arrangement for a coalition government with a more compromising Pakistan ",1,15,strike,verb,Hit forcibly and deliberately with one's hand or a weapon or other implement.,"he raised his hand, as if to strike me"
"Customers should n't '' sleep too easily , '' because regulatory gaps remain , such as not requiring disclosure of charges , warns Helena Wiesner , research manager at Britain 's Consumers Association ",1,4,sleep,verb,Be in a state of sleep; be asleep.,she slept for half an hour
"Mr. Guy , a N.M. Rothschild & Sons director , said his bank and four other London bullion houses -- Mocatta & Goldsmid Ltd . , Sharps Pixley Ltd . , Samuel Montagu & Co. and Mase Wespac Ltd . -- will continue to carry out the 60-year - old tradition of fixing the price of gold twice a day ",1,52,fix,verb,Fasten (something) securely in a particular place or position.,they had candles fixed to their helmets
"Both animals went into the book at $ 3.40-to- $ 1 , but about $ 5 , 000 more of the first - place mutuel pool rode Private Terms 's nose to an inglorious ninth ",1,26,ride,verb,"Sit on and control the movement of (an animal, typically a horse)",Jane and Rory were riding their ponies
"When she hears that prisoners sometimes carve their names into logs that float downriver , she grabs her child and runs with her to the river ",1,16,grab,verb,Grasp or seize suddenly and roughly.,she grabbed him by the shirt collar
Sunworld had recently been operating as a charter airline flying 120 flights a month ,1,9,fly,verb,"(of a bird, bat, or insect) move through the air using wings.",close the door or the moths will fly in
"The company has been pumping gas in Houston for more than 25 years , but is classified in the area as a non - major , with a market share of just 2.6 % , according to Whitney Leigh ",1,4,pump,verb,"Force (liquid, gas, etc.) to move by or as if by means of a pump.",the blood is pumped around the body
Wind shear has contributed to at least five major airline accidents in the past 15 years in which more than 500 people have been killed ,1,24,kill,verb,"Cause the death of (a person, animal, or other living thing)",her father was killed in a car crash
"The suit , filed against the unions representing pilots and machinists , stepped up the war over Eastern 's labor costs that has raged through the company , the Congress and the courts for more than a year ",1,12,step,verb,Lift and set down one's foot or one foot after the other in order to walk somewhere or move to a new position.,Claudia tried to step back
Increasingly he will be the leper nobody wants to touch . ',1,9,touch,verb,Come into or be in contact with.,he leaned back so that only two legs of his chair touched the floor
"Tobacco may have run into its first legal setback and another public relations blow this week , but the cigarettes keep rolling off the line and their makers keep rolling in big profits ",1,29,roll,verb,Move in a particular direction by turning over and over on an axis.,the car rolled down into a ditch
"Especially for Sen. Gore , who must worry that all the publicity enjoyed by the winners in Iowa and New Hampshire could all but drown him out ",1,24,drown,verb,Die through submersion in and inhalation of water.,a motorist drowned when her car plunged off the edge of a quay
"By taking full control of AEG , Daimler can step up implementation of its strategy of integrating AEG 's electronics business into its automotive and technology lines and reducing AEG 's former emphasis in consumer appliances ",1,9,step,verb,Lift and set down one's foot or one foot after the other in order to walk somewhere or move to a new position.,Claudia tried to step back
"Roberto Macedo , president of the Association of Sao Paulo Economists , said in a statement that , '' This pact was born distorted and will die distorted . '",1,26,die,verb,"(of a person, animal, or plant) stop living.",he died of tuberculosis
"Second , if politicians think that the Fed is targeting economic growth , they will blame the Fed if the economy slows ",1,9,target,verb,Select as an object of attention or attack.,two men were targeted by the attackers
"The potential for peace in many places today results in large part from the Reagan buildup in strategic and theater nuclear defenses , combined with the Reagan doctrine of rolling back communist conquest by backing indigenous guerrilla armies ",1,29,roll,verb,Move in a particular direction by turning over and over on an axis.,the car rolled down into a ditch
"The machinery maker , which in December announced it had heavy losses and would be laying off 6 , 000 employees to kick off a restructuring program , said it had a 285 million - mark parent company loss in 1987 ",1,22,kick,verb,Strike or propel forcibly with the foot.,I kicked the ball up into the air
"And at Mellon Bank Corp . , a followership workshop helped smooth a major restructuring in the corporate banking department ",1,11,smooth,verb,"Give (something) a flat, regular surface or appearance.",she smoothed out the newspaper
"At the time the investors stepped in , Atlantic National Bank of Florida was in foreclosure proceedings , and a court had ruled that Rep. Chappell and his partner , William W. Austin , were personally obligated to repay about $ 172 , 000 , according to an attorney for the bank ",1,5,step,verb,Lift and set down one's foot or one foot after the other in order to walk somewhere or move to a new position.,Claudia tried to step back
"With more carriers flying abroad , airlines are pressuring the FAA to allow them to use foreign repair stations to perform major maintenance work ",1,3,fly,verb,"(of a bird, bat, or insect) move through the air using wings.",close the door or the moths will fly in
Salsa and rap music pour out of the windows ,1,4,pour,verb,Flow rapidly in a steady stream.,water poured off the roof
All the publicity caused the canine officer who had overlooked the dynamite to step forward ,1,13,step,verb,Lift and set down one's foot or one foot after the other in order to walk somewhere or move to a new position.,Claudia tried to step back
"The last Polish leader who recognized Solidarity , Edward Gierek , lost his job in the process ; Gen. Jaruzelski has rested his political base on a refusal to do the same ",1,21,rest,verb,"Cease work or movement in order to relax, sleep, or recover strength.",he needed to rest after the feverish activity
"But it 's still a fragile recovery , one that may evaporate with the next U.S. monthly trade figure , some bankers warn ",1,11,evaporate,verb,Turn from liquid into vapour.,cook until most of the liquid has evaporated
"The date would give two breweries , which now produce beer for export only , time to step up production , the bill said ",1,17,step,verb,Lift and set down one's foot or one foot after the other in order to walk somewhere or move to a new position.,Claudia tried to step back
Stories of dog restaurants being shooed from areas tourists frequent filled the foreign press in pre - Olympic days ,1,10,fill,verb,Cause (a space or container) to become full or almost full.,I filled the bottle with water
Capitalizing on their heritage -- the town 's name derives from the Scottish birthplace of poet Robert Burns -- citizens imported a fire - engine - red Scottish phone booth and planted it in the courthouse square ,1,31,plant,verb,"Put (a seed, bulb, or plant) in the ground so that it can grow.",we planted a lot of fruit trees
"However , a lawsuit could drag on for years ",1,5,drag,verb,"Pull (someone or something) along forcefully, roughly, or with difficulty.",we dragged the boat up the beach
"'' The question is , how many times does Congress have to stick its hands in the meat grinder before it notices it hurts ? '",1,12,stick,verb,Push a sharp or pointed object into or through (something),he stuck his fork into the sausage
